sub,eye,rotationSpeed,sameSideAfterReversalD,torsionVelT,torsionVGain,torsionAngleTotal,torsionAngleCW,torsionAngleCCW,sacNumT,sacAmpSumT,sacAmpMeanT,torsionVelTMerged,torsionVGainMerged,torsionAngleCWMerged,torsionAngleCCWMerged,exp
1,1,200,1,0.49178311631169,0.00245891558155845,0.857945248802129,0.857945248802129,-0,0,0,NaN,0.49178311631169,0.00245891558155845,0.857945248802129,-0,2
1,1,200,-1,0.0890407445112624,0.000445203722556312,0.142429380764792,0.142429380764792,-0,1,0.195837029141646,0.195837029141646,-0.0890407445112624,-0.000445203722556312,0,-0.142429380764792,2
1,1,200,1,0.0787838857444811,0.000393919428722405,0.169421208978535,0.169421208978535,-0,0,0,NaN,0.0787838857444811,0.000393919428722405,0.169421208978535,-0,2
1,1,200,-1,0.332271685557052,0.00166135842778526,0.636112928952119,0.636112928952119,-0,0,0,NaN,-0.332271685557052,-0.00166135842778526,0,-0.636112928952119,2
1,1,25,-1,0.568488472655794,0.0227395389062318,1.09792125614463,1.09792125614463,-0,2,0.712544522554929,0.356272261277465,-0.568488472655794,-0.0227395389062318,0,-1.09792125614463,2
1,1,25,-1,0.222718135205206,0.00890872540820825,0.457504001041193,0.457504001041193,-0,0,0,NaN,-0.222718135205206,-0.00890872540820825,0,-0.457504001041193,2
1,1,100,1,0.687724946236021,0.00687724946236021,1.29711553115871,1.29711553115871,-0,0,0,NaN,0.687724946236021,0.00687724946236021,1.29711553115871,-0,2
1,1,50,-1,-0.0856033037081387,-0.00171206607416277,0.165926592906386,0,-0.165926592906386,0,0,NaN,0.0856033037081387,0.00171206607416277,0.165926592906386,-0,2
1,1,100,1,0.779765823806024,0.00779765823806024,1.32586423956846,1.32586423956846,-0,0,0,NaN,0.779765823806024,0.00779765823806024,1.32586423956846,-0,2
1,1,25,-1,-0.0271606585878657,-0.00108642634351463,0.0556298968219151,0,-0.0556298968219151,0,0,NaN,0.0271606585878657,0.00108642634351463,0.0556298968219151,-0,2
1,1,50,-1,0.536820177323469,0.0107364035464694,1.09038299604615,1.09038299604615,-0,0,0,NaN,-0.536820177323469,-0.0107364035464694,0,-1.09038299604615,2
1,1,25,1,0.426096388125955,0.0170438555250382,0.782060778335962,0.782060778335962,-0,0,0,NaN,0.426096388125955,0.0170438555250382,0.782060778335962,-0,2
1,1,25,1,0.661600412707729,0.0264640165083092,1.2467147181047,1.2467147181047,-0,0,0,NaN,0.661600412707729,0.0264640165083092,1.2467147181047,-0,2
1,1,50,1,0.176297843263919,0.00352595686527838,0.303142514471552,0.303142514471552,-0,0,0,NaN,0.176297843263919,0.00352595686527838,0.303142514471552,-0,2
1,1,50,1,0.128716221542253,0.00257432443084506,0.225352527525168,0.225352527525168,-0,1,0.159533397257009,0.159533397257009,0.128716221542253,0.00257432443084506,0.225352527525168,-0,2
1,1,25,-1,0.11263851112686,0.00450554044507439,0.676909868857541,0.426128123464632,-0.25078174539291,2,0.557997351383862,0.278998675691931,-0.11263851112686,-0.00450554044507439,0.25078174539291,-0.426128123464632,2
1,1,100,1,0.293927557125297,0.00293927557125297,0.511115031488525,0.511115031488525,-0,0,0,NaN,0.293927557125297,0.00293927557125297,0.511115031488525,-0,2
1,1,25,1,0.0725697067486108,0.00290278826994443,0.154181408855349,0.154181408855349,-0,0,0,NaN,0.0725697067486108,0.00290278826994443,0.154181408855349,-0,2
1,1,100,-1,1.04342348935092,0.0104342348935092,1.7180733771685,1.7180733771685,-0,0,0,NaN,-1.04342348935092,-0.0104342348935092,0,-1.7180733771685,2
1,1,100,-1,0.33626243265271,0.0033626243265271,0.628177254231308,0.628177254231308,-0,1,0.274802253175116,0.274802253175116,-0.33626243265271,-0.0033626243265271,0,-0.628177254231308,2
1,1,100,-1,0.427341892677166,0.00427341892677166,0.795622783990428,0.795622783990428,-0,0,0,NaN,-0.427341892677166,-0.00427341892677166,0,-0.795622783990428,2
1,1,200,-1,0.383281619262201,0.00191640809631101,0.649064575506885,0.649064575506885,-0,0,0,NaN,-0.383281619262201,-0.00191640809631101,0,-0.649064575506885,2
1,1,25,1,0.149130253019602,0.00596521012078409,0.261963625607506,0.261963625607506,-0,0,0,NaN,0.149130253019602,0.00596521012078409,0.261963625607506,-0,2
1,1,50,1,0.125649089312426,0.00251298178624852,0.215160359984713,0.215160359984713,-0,0,0,NaN,0.125649089312426,0.00251298178624852,0.215160359984713,-0,2
1,1,25,1,0.61979646399972,0.0247918585599888,1.43892945089797,1.30531066442198,-0.133618786475986,1,0.199490564622191,0.199490564622191,0.61979646399972,0.0247918585599888,1.30531066442198,-0.133618786475986,2
1,1,100,-1,0.138670244381336,0.00138670244381336,0.310361095773208,0.310361095773208,-0,0,0,NaN,-0.138670244381336,-0.00138670244381336,0,-0.310361095773208,2
1,1,50,1,0.352133742506501,0.00704267485013001,1.06096936795784,0.859628370944246,-0.201340997013591,3,0.622473818054194,0.207491272684731,0.352133742506501,0.00704267485013001,0.859628370944246,-0.201340997013591,2
1,1,100,-1,0.224542802064146,0.00224542802064146,0.355584848637387,0.355584848637387,-0,1,0.240501086246547,0.240501086246547,-0.224542802064146,-0.00224542802064146,0,-0.355584848637387,2
1,1,200,1,0.215136185388287,0.00107568092694144,0.380640391394916,0.380640391394916,-0,0,0,NaN,0.215136185388287,0.00107568092694144,0.380640391394916,-0,2
1,1,200,1,0.279028785955641,0.0013951439297782,0.59737100485989,0.520145600259415,-0.0772254046004746,3,1.04807195288807,0.349357317629355,0.279028785955641,0.0013951439297782,0.520145600259415,-0.0772254046004746,2
