sub,rotationSpeed,afterReversalD,targetSide,perceptualError,RtorsionPosition,RtorsionVelT,RtorsionAngleTotal,RtorsionAngleCW,RtorsionAngleCCW,RsacNumT,RsacNumTCW,RsacNumTCCW,RsacAmpSumT,RsacAmpSumTCW,RsacAmpSumTCCW,RsacAmpMeanT,RsacAmpMeanTCW,RsacAmpMeanTCCW,LtorsionPosition,LtorsionVelT,LtorsionAngleTotal,LtorsionAngleCW,LtorsionAngleCCW,LsacNumT,LsacNumTCW,LsacNumTCCW,LsacAmpSumT,LsacAmpSumTCW,LsacAmpSumTCCW,LsacAmpMeanT,LsacAmpMeanTCW,LsacAmpMeanTCCW,timeWindow,exp
1,50,-1,1,6.07074451255076,-0.649790957109672,1.50978005007395,0.795928661084726,0.795928661084726,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,100,1,-1,8.73333825848779,-0.449305277944307,1.23579171625253,0.923569119093868,0.923569119093868,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,25,-1,-1,5.0326078884884,-0.66080371195226,0.360874371181772,0.141108548899311,0.141108548899311,-0,2,0,2,0.806367397374642,0,0.806367397374642,0.403183698687321,NaN,0.403183698687321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,50,1,1,18.0024495159556,-1.21195373991161,1.0869247615735,0.49818575311232,0.49818575311232,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,100,1,1,15.6857866517635,0.17825353237331,1.81352244745743,1.07714876173524,1.07714876173524,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,200,1,-1,14.6639208377238,-0.293812015457314,2.50287424422126,1.05356736487547,1.05356736487547,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,100,1,1,20.8616911990421,0.980518042918331,2.37049497560537,0.948153761199828,0.948153761199828,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,100,-1,1,6.10503254458152,1.18867225493303,1.46271522253831,0.868214806798137,0.747514374096154,-0.120700432701983,2,0,2,0.754260871632384,0,0.754260871632384,0.377130435816192,NaN,0.377130435816192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,100,1,-1,7.48753363022211,0.447389699708253,-0.331767170918026,0.418706876038178,0.165247796166883,-0.253459079871295,1,0,1,0.801785700198018,0,0.801785700198018,0.801785700198018,NaN,0.801785700198018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,200,-1,1,10.8813171678766,-0.26123217650508,0.15919742201357,0.0990970625400481,0.0990970625400481,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.844039039714184,0.188266699504352,0.140880844132313,0.140880844132313,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,25,-1,-1,7.00487636055445,-0.0163131193157907,-0.223841609015874,0.101569693656908,0,-0.101569693656908,0,0,0,0,0,0,NaN,NaN,NaN,-0.05813605375201,-0.132811468220936,0.067198631236497,0,-0.067198631236497,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
