sub,eye,rotationSpeed,afterReversalD,perceptualError,torsionPosition,torsionVelT,torsionVGain,torsionAngleTotal,torsionAngleCW,torsionAngleCCW,torsionAngle,sacNumT,sacAmpSumT,sacAmpMeanT,torsionVelTMerged,torsionVGainMerged,torsionAngleMerged,torsionPositionMerged,perceptualErrNorm,torsionVelTNorm,perceptualErrMergedNorm,torsionVelTMergedNorm,timeWindow,exp
1,2,25,-1,1.96931434506709,0.459011176220665,2.42757635401481,0.0971030541605926,0.769323271898263,0.769323271898263,0,0.769323271898263,1,1.75285077989168,1.75285077989168,-2.42757635401481,-0.0971030541605926,-0.769323271898263,-0.459011176220665,-1.05518853890893,2.09143151350633,0.0228030952311494,-1.47991996424232,-1,1
1,2,400,1,4.80851662484292,0.669427353128885,-2.59763524356514,-0.00649408810891284,1.06313421048789,0,1.06313421048789,-1.06313421048789,2,2.80313590858113,1.40156795429057,-2.59763524356514,-0.00649408810891284,-1.06313421048789,0.669427353128885,-0.782621938715149,-0.0928528417413163,-0.922184383338418,-0.446373953509207,-1,1
1,2,400,-1,12.0680761431023,-0.209513460017951,2.7734678660091,0.00693366966502274,1.08338804292631,1.08338804292631,0,1.08338804292631,3,1.55130289354325,0.517100964514416,-2.7734678660091,-0.00693366966502274,-1.08338804292631,0.209513460017951,1.17393488609866,0.856404149184207,0.731574820869347,-0.608567797726276,-1,1
1,2,50,1,2.36080575897758,0.485521493724104,-2.42368105795614,-0.0484736211591228,0.559824342983484,0,0.559824342983484,-0.559824342983484,2,2.63868702077716,1.31934351038858,-2.42368105795614,-0.0484736211591228,-0.559824342983484,0.485521493724104,0.249497551410408,-0.267531803137454,-0.0364373566158034,-0.779844218386467,-1,1
1,2,100,-1,1.33628968346504,-0.495968565515792,3.714359621829,0.03714359621829,0.75505988481338,0.75505988481338,0,0.75505988481338,1,0.0552625435773358,0.0552625435773358,-3.714359621829,-0.03714359621829,-0.75505988481338,0.495968565515792,-1.43777704985926,1.76896273306297,-0.997029561224121,-1.18957166514229,-1,1
1,2,200,-1,2.1146076029677,-0.500190807363293,2.90373222345787,0.0145186611172894,1.08068901868953,1.08068901868953,0,1.08068901868953,1,0.644338529675471,0.644338529675471,-2.90373222345787,-0.0145186611172894,-1.08068901868953,0.500190807363293,-1.31995574773735,0.795629244670255,-1.34651912869216,-0.432796363935451,-1,1
1,2,400,-1,6.93992862653701,-0.526307929378368,3.13587264441228,0.0078396816110307,0.275796788173653,0.275796788173653,0,0.275796788173653,2,1.14239903236316,0.571199516181578,-3.13587264441228,-0.0078396816110307,-0.275796788173653,0.526307929378368,-0.538427589674741,1.15549230101932,-0.436639467438944,-0.942861988160597,-1,1
1,2,50,1,8.73738056876066,1.09163519126061,-2.75183239212111,-0.0550366478424221,1.1024627717149,0,1.1024627717149,-1.1024627717149,1,3.07337652737781,3.07337652737781,-2.75183239212111,-0.0550366478424221,-1.1024627717149,1.09163519126061,2.03152025825483,-0.617627352362493,1.90407860308969,-1.11256752264426,-1,1
1,2,200,-1,3.84693750702643,-0.0715494000440485,1.96850254667515,0.00984251273337573,0.552272650887479,0.552272650887479,0,0.552272650887479,3,0.703489317041489,0.23449643901383,-1.96850254667515,-0.00984251273337573,-0.552272650887479,0.0715494000440485,-0.929687242045485,0.0601478118378122,-0.913628564096005,0.294414627178577,-1,1
1,2,400,-1,2.26226838940487,-0.366890313697438,2.37557290469427,0.00593893226173568,1.06650505656602,1.06650505656602,0,1.06650505656602,2,1.60125516337369,0.800627581686843,-2.37557290469427,-0.00593893226173568,-1.06650505656602,0.366890313697438,-2.10036586048468,0.528026391229374,-1.5022307959289,-0.241536285181887,-1,1
1,2,400,-1,4.25480665270723,-0.695703923680498,1.22870101495719,0.00307175253739298,0.601464463378608,0.567642189695311,0.0338222736832963,0.567642189695311,3,1.61527854203713,0.538426180679044,-1.22870101495719,-0.00307175253739298,-0.567642189695311,0.695703923680498,-1.4350285739499,-0.418472701317073,-1.04832192110194,0.816376393565975,-1,1
1,2,50,-1,4.42175975003679,0.25670196166616,0.593127118124515,0.0118625423624903,0.421534849919702,0.30910995190542,0.112424898014282,0.30910995190542,2,1.0567463091473,0.528373154573651,-0.593127118124515,-0.0118625423624903,-0.30910995190542,-0.25670196166616,0.276402393411089,-0.701313161115221,0.590751099753169,1.07621392330226,-1,1
1,2,50,-1,0.0538825683638038,-0.0209045469531822,0.956809864494623,0.0191361972898925,0.28896245214665,0.28896245214665,0,0.28896245214665,1,1.55411217742564,1.55411217742564,-0.956809864494623,-0.0191361972898925,-0.28896245214665,0.0209045469531822,-1.54657022407513,-0.0740987384459294,-0.738479033023745,0.707464165262327,-1,1
1,2,200,1,4.5294185296325,0.991338510087376,-2.8034706467311,-0.0140173532336555,0.784185486362314,0.00653041728994001,0.777655069072374,-0.777655069072374,1,1.9714206707778,1.9714206707778,-2.8034706467311,-0.0140173532336555,-0.777655069072374,0.991338510087376,-0.699275350706951,0.0436495052165855,-0.743083915233274,-0.35483549251299,-1,1
1,2,200,-1,7.97559770506386,-0.225834479579995,3.59283861835986,0.0179641930917993,0.672458158858569,0.663010122371662,0.00944803648690734,0.663010122371662,6,3.61735802332386,0.602893003887311,-3.59283861835986,-0.0179641930917993,-0.663010122371662,0.225834479579995,0.000439313076840376,1.33755490344537,0.118079103113734,-0.968628103304127,-1,1
