sub,eye,rotationSpeed,afterReversalD,torsionVelT,torsionVGain,torsionAngleTotal,torsionAngleCW,torsionAngleCCW,torsionAngle,sacNumT,sacAmpSumT,sacAmpMeanT,torsionVelTMerged,torsionVGainMerged,torsionAngleMerged,torsionVelTNorm,torsionVelTMergedNorm,exp
1,2,400,1,2.2204608530168,0.005551152132542,3.60319365804242,3.60319365804242,0,3.60319365804242,3,1.51893016941842,0.506310056472806,2.2204608530168,0.005551152132542,3.60319365804242,1.37666655974817,1.01691873340782,2
1,2,400,1,1.94112508049674,0.00485281270124186,3.15551488225271,3.15551488225271,0,3.15551488225271,2,1.55895139761079,0.779475698805396,1.94112508049674,0.00485281270124186,3.15551488225271,-0.285319206855395,0.347302274328144,2
1,2,200,1,3.21568971382161,0.0160784485691081,4.34290172015505,4.34290172015505,0,4.34290172015505,3,8.8536483570227,2.95121611900757,3.21568971382161,0.0160784485691081,4.34290172015505,0.0518725604181742,0.412716199536726,2
1,2,400,1,1.97510494073858,0.00493776235184644,3.55747574908479,3.55747574908479,0,3.55747574908479,2,2.17636538941461,1.08818269470731,1.97510494073858,0.00493776235184644,3.55747574908479,-0.0831465901381829,0.428757912787498,2
1,2,100,-1,-3.9231013694889,-0.039231013694889,4.88521121251551,0,4.88521121251551,-4.88521121251551,4,4.5881662738446,1.14704156846115,3.9231013694889,0.039231013694889,4.88521121251551,-0.417936184458183,0.581174514859361,2
1,2,50,-1,-2.27032471040055,-0.045406494208011,4.18811026060006,0,4.18811026060006,-4.18811026060006,1,1.43223793779989,1.43223793779989,2.27032471040055,0.045406494208011,4.18811026060006,1.2308216185825,-1.02788858083068,2
1,2,200,-1,-2.72266941681202,-0.0136133470840601,4.64840661105146,0,4.64840661105146,-4.64840661105146,3,2.74912569150599,0.916375230501996,2.72266941681202,0.0136133470840601,4.64840661105146,0.644514650558294,-1.15431571991629,2
1,2,200,-1,-2.59163564956605,-0.0129581782478302,4.33682418154035,0,4.33682418154035,-4.33682418154035,2,1.69935743853114,0.84967871926557,2.59163564956605,0.0129581782478302,4.33682418154035,0.989444205752622,-1.57079775330532,2
1,2,200,1,3.43096005236101,0.0171548002618051,4.06834358923696,4.06834358923696,0,4.06834358923696,3,4.52379333809517,1.50793111269839,3.43096005236101,0.0171548002618051,4.06834358923696,1.02124394344513,1.09693852029876,2
1,2,50,1,2.71174154686226,0.0542348309372453,4.23198138461235,4.23198138461235,0,4.23198138461235,2,3.6617294094051,1.83086470470255,2.71174154686226,0.0542348309372453,4.23198138461235,-0.6950928724514,-0.0861935657058505,2
1,2,25,-1,-2.08791185933982,-0.0835164743735927,3.85534053921605,0,3.85534053921605,-3.85534053921605,2,1.7219856214105,0.860992810705251,2.08791185933982,0.0835164743735927,3.85534053921605,-0.194148333058636,-0.479743102431918,2
1,2,200,-1,-3.13811277439895,-0.0156905638719947,3.63434022308139,0,3.63434022308139,-3.63434022308139,5,6.16006781861699,1.2320135637234,3.13811277439895,0.0156905638719947,3.63434022308139,-0.449086606222328,0.166143105028965,2
1,2,25,1,2.81979261143574,0.11279170445743,4.08986927016906,4.08986927016906,0,4.08986927016906,3,4.69853115097658,1.56617705032553,2.81979261143574,0.11279170445743,4.08986927016906,0.311110433431011,0.767461285149488,2
1,2,50,-1,-2.45234172025949,-0.0490468344051898,4.68192583504611,0,4.68192583504611,-4.68192583504611,2,2.42725358623462,1.21362679311731,2.45234172025949,0.0490468344051898,4.68192583504611,-0.0287393873740218,-0.639583249692821,2
1,2,100,-1,-3.92761191647598,-0.0392761191647598,6.77911723435412,0,6.77911723435412,-6.77911723435412,3,7.31354778150506,2.43784926050169,3.92761191647598,0.0392761191647598,6.77911723435412,-0.423707418513118,0.587355111901377,2
1,2,400,-1,-1.71665054237219,-0.00429162635593048,3.00346009193636,0,3.00346009193636,-3.00346009193636,2,1.33526071534809,0.667630357674045,1.71665054237219,0.00429162635593048,3.00346009193636,-0.214525058502188,-0.190802258494325,2
1,2,100,1,2.64835741291448,0.0264835741291448,4.88716937168119,4.77859682931506,0.108572542366134,0,3,6.73638702330284,2.24546234110095,2.64835741291448,0.0264835741291448,0,-1.0030397917812,-1.16554905323685,2
1,2,400,-1,-2.29780930121057,-0.00574452325302642,3.9269178181039,0,3.9269178181039,-3.9269178181039,3,2.96282757856675,0.987609192855584,2.29780930121057,0.00574452325302642,3.9269178181039,-1.31549047903413,1.20233642455262,2
1,2,50,1,3.44820753105299,0.0689641506210598,5.76035223912528,5.76035223912528,0,5.76035223912528,3,5.80460232258865,1.93486744086288,3.44820753105299,0.0689641506210598,5.76035223912528,0.791473284809405,1.48494348398292,2
1,2,50,1,3.51328489885008,0.0702656979770016,6.06623732524688,6.06623732524688,0,6.06623732524688,2,6.33849815646182,3.16924907823091,3.51328489885008,0.0702656979770016,6.06623732524688,0.922832797193504,1.62377605172817,2
1,2,100,-1,-4.36738867007604,-0.0436738867007604,5.60142105043274,0,5.60142105043274,-5.60142105043274,4,13.822016786491,3.45550419662276,4.36738867007604,0.0436738867007604,5.60142105043274,-0.986400720282811,1.18996116172989,2
1,2,100,1,2.59867449079865,0.0259867449079865,3.39045852540788,3.05825658787149,0.332201937536388,0,9,13.378179521726,1.48646439130288,2.59867449079865,0.0259867449079865,0,-1.06921045596272,-1.23362729792594,2
1,2,25,1,3.37857767640266,0.135143107056106,6.31820669753172,6.31820669753172,0,6.31820669753172,2,5.34421624634584,2.67210812317292,3.37857767640266,0.135143107056106,6.31820669753172,1.53110289091562,1.71969179913131,2
