sub,rotationSpeed,afterReversalD,targetSide,timeWindow,exp,perceptualError,eye,torsionPosition,torsionVelT,torsionAngleTotal,torsionAngleCW,torsionAngleCCW,sacNumT,sacNumTCW,sacNumTCCW,sacAmpSumT,sacAmpSumTCW,sacAmpSumTCCW,sacAmpMeanT,sacAmpMeanTCW,sacAmpMeanTCCW
1,25,1,1,-1,2,6.00999379775782,2,0.0278894956482597,2.06850861875715,0.762917849724312,0.762917849724312,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,1,-1,-1,2,11.3486394903236,1,-0.0509961048463829,-0.498023988592623,0.783511874975137,0.2502674760478,-0.533244398927337,1,1,0,0.0740380698175594,0.0740380698175594,0,0.0740380698175594,0.0740380698175594,NaN
1,50,-1,-1,-1,2,10.8842938256798,1,-0.209539974457616,-0.265466559653196,0.208727305336963,0,-0.208727305336963,1,0,1,0.615102955340802,0,0.615102955340802,0.615102955340802,NaN,0.615102955340802
1,200,-1,-1,-1,2,4.39526883991487,1,-0.0718184983955465,-0.420480369460158,0.600054309261642,0.256263308095255,-0.343791001166386,4,2,2,1.88287818754528,1.14428241621414,0.73859577133114,0.470719546886319,0.572141208107069,0.36929788566557
1,50,1,-1,-1,2,9.03196941791332,1,-0.115178192693405,-0.211117180167626,0.122118106510521,0,-0.122118106510521,1,0,1,0.142309474436221,0,0.142309474436221,0.142309474436221,NaN,0.142309474436221
1,200,-1,-1,-1,2,15.7038028737811,1,-1.36307564576664,-0.781126627145196,0.928360711572782,0.127821138026011,-0.800539573546771,2,1,1,1.18915832646754,0.921909601569712,0.267248724897832,0.594579163233772,0.921909601569712,0.267248724897832
1,25,-1,1,-1,2,-1.12774714617445,2,-0.766870142503241,3.16042046014363,1.24074234250912,1.24074234250912,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,1,-1,2,8.33409463964086,2,0.611382609892027,1.34458342708989,0.665598574944527,0.665598574944527,-0,2,0,2,0.500933654330485,0,0.500933654330485,0.250466827165243,NaN,0.250466827165243
1,100,-1,1,-1,2,10.7763731233957,2,0.396720920559645,1.87764579577196,0.909866804198297,0.909866804198297,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,-1,1,-1,2,13.3162616045136,2,-0.717296268438152,1.33239803209135,0.827281041897427,0.827281041897427,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,-1,1,-1,2,6.07074451255076,2,-0.649790957109672,1.50978005007395,0.795928661084726,0.795928661084726,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,1,1,-1,2,18.0024495159556,2,-1.21195373991161,1.0869247615735,0.49818575311232,0.49818575311232,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,1,-1,2,15.6857866517635,2,0.17825353237331,1.81352244745743,1.07714876173524,1.07714876173524,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,1,-1,2,20.8616911990421,2,0.980518042918331,2.37049497560537,0.948153761199828,0.948153761199828,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,1,-1,2,6.10503254458152,2,1.18867225493303,1.46271522253831,0.868214806798137,0.747514374096154,-0.120700432701983,2,0,2,0.754260871632384,0,0.754260871632384,0.377130435816192,NaN,0.377130435816192
1,200,-1,1,-1,2,10.8813171678766,2,-0.26123217650508,0.15919742201357,0.0990970625400481,0.0990970625400481,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,25,-1,-1,-1,2,7.00487636055445,1,-0.05813605375201,-0.132811468220936,0.067198631236497,0,-0.067198631236497,0,0,0,0,0,0,NaN,NaN,NaN
1,50,1,1,-1,2,12.4850258654395,2,0.135219768929896,0.00843421322466593,0.0127171372110962,0.0127171372110962,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,1,-1,2,13.6467742129998,2,-0.391584909816169,-0.201218684876806,0.110442087030355,0,-0.110442087030355,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,1,-1,2,5.48297080802045,2,0.112341568198994,-0.16608621294136,0.122182963393709,0,-0.122182963393709,0,0,0,0,0,0,NaN,NaN,NaN
1,25,-1,1,-1,2,-1.27287321697865,2,-0.220465308145351,0.370656793759939,0.220618797899993,0.220618797899993,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,1,-1,2,18.7418661208217,2,0.260026932759286,0.301448022064145,0.125222350195706,0.125222350195706,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,1,-1,-1,2,17.5961032826466,1,-0.390656089910865,0.448272974576299,0.253361105690225,0.253361105690225,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,-1,-1,-1,2,15.0144914470122,1,0.166069115874573,0.320617172628451,0.18254408645363,0.18254408645363,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,25,1,1,-1,2,3.44459455680567,2,0.035944472557473,-0.189950113567692,0.0983871244116763,0,-0.0983871244116763,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,-1,-1,2,10.6710935659933,1,-0.259788430612395,0.77786465735291,0.386737761542958,0.386737761542958,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,1,-1,-1,2,18.5747796195646,1,-0.292801507037004,0.709773050830665,0.489543626020821,0.489543626020821,-0,1,0,1,0.411462940564096,0,0.411462940564096,0.411462940564096,NaN,0.411462940564096
1,100,1,-1,-1,2,18.7342802901348,1,-0.495045774410124,-0.0336275823757532,0.258228759772007,0.128049233971284,-0.130179525800723,2,0,2,0.777114954451289,0,0.777114954451289,0.388557477225644,NaN,0.388557477225644
1,100,-1,-1,-1,2,17.4786940627376,1,-0.234993693416385,0.622706615487319,0.280038052210343,0.280038052210343,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,-1,1,-1,2,13.4580332700711,2,-0.814434091297295,0.287224889496954,0.162652020024906,0.162652020024906,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,25,1,-1,-1,2,10.858407648463,1,-0.437160665807577,0.222979166413215,0.156959939975287,0.156959939975287,-0,0,0,0,0,0,0,NaN,NaN,NaN
