sub,eye,rotationSpeed,sameSideAfterReversalD,torsionVelTMean,torsionVelTStd,torsionVelTGainMean,torsionVelTGainStd,torsionAngleTotalMean,torsionAngleTotalStd,torsionAngleCWMean,torsionAngleCWStd,torsionAngleCCWMean,torsionAngleCCWStd,sacNumTMean,sacNumTStd,sacAmpSumTMean,sacAmpSumTStd,sacAmpMeanTMean,sacAmpMeanTStd,nonErrorTrialN,exp
1,1,25,-1,0.219171115099999,0.254338184365421,0.00876684460399995,0.0101735273746169,0.571991255716319,0.43487418302168,0.495388345162613,0.452654291624627,-0.0766029105537062,0.119043613326566,1,1.15470053837925,0.317635468484698,0.372161066124361,0.317635468484698,0.0546406763741298,4,2
1,1,50,-1,0.318326356854592,0.291051907893424,0.00636652713709183,0.00582103815786849,0.679366036184197,0.40134902700706,0.637884387957601,0.474088024557803,-0.0414816482265964,0.0829632964531929,0.25,0.5,0.0748212297931928,0.149642459586386,0.299284919172771,NaN,4,2
1,1,100,-1,0.434048172225256,0.357800895245821,0.00434048172225256,0.00357800895245821,0.761563871960166,0.570584206197618,0.761563871960166,0.570584206197618,-0,0,0.4,0.547722557505166,0.103060667884333,0.141641752770913,0.257651669710831,0.024254587737803,5,2
1,1,200,-1,0.276927425957378,0.129565208657183,0.00138463712978689,0.000647826043285914,0.52271140514975,0.253763260980659,0.509963355916454,0.245496732080739,-0.0127480492332955,0.0254960984665911,0.75,0.957427107756338,0.15932630583722,0.209528694576407,0.208285563122631,0.0176048855875722,4,2
1,2,25,-1,0.258246843541713,0.27857783168525,0.0103298737416685,0.01114311326741,0.798435863634158,0.20554359146431,0.63655403165293,0.350670118456485,-0.161881831981228,0.148623555017648,1,0,0.309085761315031,0.0654310588677198,0.309085761315031,0.0654310588677198,3,2
1,2,50,-1,0.27898737719238,0.0296404452890488,0.00557974754384761,0.000592808905780977,0.604772810590183,0.117948181598734,0.548020180371515,0.0376878422431491,-0.0567526302186675,0.0802603393555847,0.5,0.707106781186548,0.078325232524255,0.110768606111828,0.15665046504851,NaN,2,2
1,2,100,-1,0.240206589657206,0.463529666125729,0.00240206589657206,0.00463529666125729,0.792808580229198,0.391776016610019,0.629163897400804,0.480625652072716,-0.163644682828394,0.365920634960682,1.2,2.16794833886788,1.18972070430551,2.10931125016279,1.02663590575913,0.0746746879844684,5,2
1,2,200,-1,0.538766948500643,0.317196489581574,0.00269383474250321,0.00158598244790787,0.950150073530103,0.496685075849853,0.950150073530103,0.496685075849853,-0,0,0.333333333333333,0.577350269189626,0.523627315123675,0.906949114025085,1.57088194537103,NaN,3,2
1,1,25,1,0.361050736719734,0.246982996085931,0.0144420294687894,0.00987931984343725,0.803146085424018,0.5163030637118,0.736924819001659,0.480513844595154,-0.0662212664223595,0.110530340537755,0.333333333333333,0.516397779494322,0.119172113630417,0.209937230588845,0.35751634089125,0.22348219600424,6,2
1,1,50,1,0.195699224156275,0.106836192592256,0.00391398448312549,0.00213672385184512,0.451156192484818,0.40843664785216,0.40082094323142,0.308385228921785,-0.0503352492533977,0.100670498506795,1,1.4142135623731,0.195501803827801,0.294415091213994,0.18351233497087,0.033911338926242,4,2
1,1,100,1,0.587139442389114,0.258065472372682,0.00587139442389114,0.00258065472372682,1.04469826740523,0.462320153462205,1.04469826740523,0.462320153462205,-0,0,0,0,0,0,NaN,-0,3,2
1,1,200,1,0.232390841101898,0.167050009782725,0.00116195420550949,0.000835250048913624,0.454212437863403,0.276385732929271,0.438767356943308,0.268428923294097,-0.0154450809200949,0.0345362508553172,0.8,1.30384048104053,0.247818243639247,0.454937844311525,0.270188291468762,0.11196191051618,5,2
1,2,25,1,0.327392990252429,0.137356538416338,0.0130957196100972,0.00549426153665351,0.618866819139259,0.254035991932211,0.618866819139259,0.254035991932211,-0,0,0.4,0.547722557505166,0.469384776861838,0.930624160204424,1.17346194215459,1.3460422707339,5,2
1,2,50,1,0.156787968348631,0.321958012111522,0.00313575936697263,0.00643916024223044,0.467930861979942,0.516469885718915,0.396952392258425,0.579786627499185,-0.0709784697215167,0.122938315801156,0,0,0,0,NaN,-0,3,2
1,2,100,1,0.217500268001444,0.0798463486099309,0.00217500268001444,0.000798463486099309,0.483791281185947,0.266801708759663,0.441502078111986,0.190913611695636,-0.0422892030739616,0.0845784061479233,0.5,1,0.12449612721308,0.248992254426159,0.248992254426159,NaN,4,2
1,2,200,1,0.264329574010546,0.0159436459780115,0.00132164787005273,7.97182298900574e-05,0.673607321369725,0.272209237261943,0.588672809609301,0.125470069475631,-0.0849345117604233,0.147110889685109,0.666666666666667,1.15470053837925,0.104474135002629,0.180954509901363,0.156711202503943,NaN,3,2
2,1,25,-1,0.0897032003028743,0.167666101943662,0.00358812801211497,0.00670664407774649,0.257719295737912,0.218757621266359,0.211679781674469,0.248235368752111,-0.0460395140634435,0.102947483096917,0,0,0,0,NaN,-0,5,2
2,1,50,-1,0.0682091723548227,0.104388915532617,0.00136418344709645,0.00208777831065233,0.155834150263657,0.193431852567556,0.143612110667799,0.202625449008434,-0.0122220395958584,0.0273293113600334,0,0,0,0,NaN,-0,5,2
2,1,100,-1,-0.0307044748136375,0.105973580871833,-0.000307044748136375,0.00105973580871833,0.171462569965164,0.0757187134440722,0.0536278293319091,0.0923273163362906,-0.117834740633255,0.111243523352526,0,0,0,0,NaN,-0,6,2
2,1,200,-1,-0.0396998911956985,0.146642639767531,-0.000198499455978493,0.000733213198837657,0.324409049552789,0.274207302714264,0.117069729076812,0.22948945917264,-0.207339320475978,0.137101810262444,0.2,0.447213595499958,0.0570449836798505,0.127556461283512,0.285224918399252,NaN,5,2
2,2,25,-1,-0.106905856766628,0.0883815118570157,-0.0042762342706651,0.00353526047428063,0.252496301349451,0.135825756149971,0.0214806680497568,0.0526166760560095,-0.231015633299694,0.143523084520993,0.166666666666667,0.408248290463863,0.00820424760768759,0.0200962203622842,0.0492254856461255,NaN,6,2
2,2,50,-1,-0.124651798891311,0.107517336023182,-0.00249303597782622,0.00215034672046364,0.218447812991264,0.17839345059699,0,0,-0.218447812991264,0.17839345059699,0,0,0,0,NaN,-0,5,2
2,2,100,-1,-0.0799747024158986,0.0970880581002661,-0.000799747024158986,0.000970880581002661,0.175502320920069,0.138765739334377,0.0179755865516741,0.0401946334649742,-0.157526734368395,0.157224077269471,0,0,0,0,NaN,-0,5,2
2,2,200,-1,-0.132382732320655,0.167213851135106,-0.000661913661603274,0.00083606925567553,0.333347580253233,0.201145591236835,0.0463271569812057,0.11347789583777,-0.287020423272027,0.24391542084094,0,0,0,0,NaN,-0,6,2
2,1,25,1,-0.200720265574842,0.0995207207308543,-0.00802881062299369,0.00398082882923417,0.388660340646453,0.195690873390762,0,0,-0.388660340646453,0.195690873390762,0,0,0,0,NaN,-0,6,2
2,1,50,1,-0.170209956598389,0.263835260395589,-0.00340419913196778,0.00527670520791179,0.47656647011993,0.220469767487148,0.0837132614612104,0.18718854324548,-0.39285320865872,0.309491399047339,0,0,0,0,NaN,-0,5,2
2,1,100,1,-0.137787954197676,0.0756832999385771,-0.00137787954197676,0.000756832999385771,0.251244158406822,0.13942216104308,0,0,-0.251244158406822,0.13942216104308,0,0,0,0,NaN,-0,5,2
2,1,200,1,-0.199974725607026,0.207031949655558,-0.000999873628035131,0.00103515974827779,0.524978565301704,0.307286467729297,0.0777840216921067,0.122148052348552,-0.447194543609597,0.324879837923913,0.166666666666667,0.408248290463863,0.0478836967052783,0.11729062392612,0.28730218023167,NaN,6,2
2,2,25,1,0.0903230874757169,0.115740630395036,0.00361292349902868,0.00462962521580144,0.187077534479548,0.201966161572834,0.180636920658187,0.208546048891084,-0.0064406138213606,0.014401650321387,0,0,0,0,NaN,-0,5,2
2,2,50,1,0.0253794616837741,0.0664996485463605,0.000507589233675481,0.00132999297092721,0.0827923530519638,0.117807551615234,0.0688200185945959,0.123868855991603,-0.0139723344573679,0.0306441923669477,0,0,0,0,NaN,-0,5,2
2,2,100,1,-0.0206601716240417,0.0782847665859939,-0.000206601716240417,0.000782847665859939,0.102639363696607,0.0955204768691095,0.0310476565001701,0.0753150808456085,-0.071591707196437,0.0937358600452959,0,0,0,0,NaN,-0,6,2
2,2,200,1,-0.00563928416714727,0.0229816075413173,-2.81964208357364e-05,0.000114908037706586,0.0554658549756877,0.0650745739055481,0.0229233401855893,0.0436021548230542,-0.0325425147900984,0.0262880524626876,0.2,0.447213595499958,0.0528473793333636,0.118170332622119,0.264236896666818,NaN,5,2
3,1,25,-1,0.188930483069966,0.160177529896339,0.00755721932279865,0.00640710119585357,0.592971543833524,0.546170217941562,0.45874955478008,0.353224155975509,-0.134221989053443,0.23279487361328,1,1.67332005306815,0.441664891583767,0.705028101425191,0.463272802894726,0.0916746036915419,6,2
