sub,rotationSpeed,LsameSideAfterReversalD,LtorsionVelT,LtorsionVGain,LtorsionAngleTotal,LtorsionAngleCW,LtorsionAngleCCW,LsacNumT,LsacAmpSumT,LsacAmpMeanT,RsameSideAfterReversalD,RtorsionVelT,RtorsionVGain,RtorsionAngleTotal,RtorsionAngleCW,RtorsionAngleCCW,RsacNumT,RsacAmpSumT,RsacAmpMeanT,exp
1,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.0594336657040854,0.00118867331408171,0.127014143931541,0.127014143931541,-0,1,0.180739517213208,0.180739517213208,2
1,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.270492416158837,0.00135246208079419,1.04184948619219,0.754931831253033,-0.28691765493916,2,0.265918274255488,0.132959137127744,2
1,50,-1,0.521970630572599,0.010439412611452,0.913189169109808,0.913189169109808,-0,1,0.227513447394271,0.227513447394271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,200,-1,0.42145073823441,0.00210725369117205,0.777164053685431,0.777164053685431,-0,3,0.60553652739421,0.201845509131403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2,200,1,-0.44499001920026,-0.0022249500960013,0.799802448189355,0,-0.799802448189355,0,0,NaN,-1,-0.345235782400608,-0.00172617891200304,0.623959763491195,0,-0.623959763491195,0,0,NaN,2
2,200,-1,-0.159824385962064,-0.000799121929810321,0.306283113207972,0,-0.306283113207972,1,0.383600439356469,0.383600439356469,1,-0.0305381953769227,-0.000152690976884613,0.0491791779747595,0,-0.0491791779747595,1,0.262754823561397,0.262754823561397,2
2,200,-1,-0.173438876424849,-0.000867194382124245,0.348822000203036,0,-0.348822000203036,1,0.234321365780239,0.234321365780239,1,-0.0363296393939762,-0.000181648196969881,0.0700142932309163,0,-0.0700142932309163,0,0,NaN,2
2,200,1,-0.27520815502601,-0.00137604077513005,0.572950355708247,0,-0.572950355708247,1,0.185967695258669,0.185967695258669,-1,-0.269273847474071,-0.00134636923737036,0.564601845182533,0,-0.564601845182533,0,0,NaN,2
2,100,1,-0.239604771665543,-0.00239604771665543,0.455571712999017,0,-0.455571712999017,0,0,NaN,-1,-0.208899380149783,-0.00208899380149783,0.399493894787614,0,-0.399493894787614,0,0,NaN,2
2,200,-1,-0.0850477669430945,-0.000425238834715473,0.152092346426491,0,-0.152092346426491,0,0,NaN,1,-0.0125973508967369,-6.29867544836847e-05,0.0139086481988412,0,-0.0139086481988412,0,0,NaN,2
2,25,-1,0.343392539024159,0.0137357015609664,0.635889429727543,0.635889429727543,-0,1,0.20641300390502,0.20641300390502,1,0.235580560018362,0.00942322240073447,0.448003657456667,0.448003657456667,-0,0,0,NaN,2
2,25,-1,0.0117431034133939,0.000469724136535756,0.0263535860497322,0.0263535860497322,-0,0,0,NaN,1,0.0212895271156252,0.00085158108462501,0.0369773775899195,0.0369773775899195,-0,0,0,NaN,2
2,100,1,-0.0975425883561122,-0.000975425883561122,0.183804704470306,0,-0.183804704470306,0,0,NaN,-1,-0.0482502326284744,-0.000482502326284744,0.0861448742304417,0,-0.0861448742304417,0,0,NaN,2
2,50,-1,0.017826037470432,0.000356520749408639,0.0348731409317411,0.0348731409317411,-0,0,0,NaN,1,0.00454394037182236,9.08788074364472e-05,0.0114055279914466,0.0114055279914466,-0,0,0,NaN,2
2,100,1,-0.164177954362849,-0.00164177954362849,0.27748575141375,0,-0.27748575141375,1,0.161390557607789,0.161390557607789,-1,-0.118254340105821,-0.00118254340105821,0.191400851450409,0,-0.191400851450409,1,0.166801850306382,0.166801850306382,2
2,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.0502385209440694,-0.00200954083776277,0.0992630911143046,0,-0.0992630911143046,1,0.20956157996088,0.20956157996088,2
2,200,1,-0.278137725182925,-0.00139068862591463,0.500680854869577,0,-0.500680854869577,1,0.269592871309045,0.269592871309045,-1,-0.092291780238957,-0.000461458901194785,0.153224791262797,0,-0.153224791262797,1,0.254895027165838,0.254895027165838,2
2,50,-1,0.22308880620884,0.00446177612417679,0.455827700803073,0.455827700803073,-0,0,0,NaN,1,0.12700762813559,0.0025401525627118,0.260524385814868,0.260524385814868,-0,0,0,NaN,2
2,25,1,-0.0556419402849545,-0.00222567761139818,0.115035920382152,0,-0.115035920382152,0,0,NaN,-1,-0.00484205588623219,-0.000193682235449288,0.00308315851248286,0,-0.00308315851248286,1,0.140604222596511,0.140604222596511,2
2,25,-1,0.0826634152055835,0.00330653660822334,0.146848513049936,0.146848513049936,-0,0,0,NaN,1,0.214894627810037,0.00859578511240147,0.407229644439811,0.407229644439811,-0,0,0,NaN,2
2,25,1,-0.27648777453059,-0.0110595109812236,0.521289003883138,0,-0.521289003883138,1,0.270774626049773,0.270774626049773,-1,-0.226906917734124,-0.00907627670936495,0.411380777495308,0,-0.411380777495308,1,0.31468755076857,0.31468755076857,2
2,25,-1,0.122738274261994,0.00490953097047978,0.236582060548758,0.236582060548758,-0,1,0.285177968973049,0.285177968973049,1,0.0235755055586651,0.000943020222346606,0.0633331951562333,0.0633331951562333,-0,1,0.571229752387797,0.571229752387797,2
2,50,1,-0.151072659371983,-0.00302145318743967,0.244490750007384,0,-0.244490750007384,1,0.255966478278321,0.255966478278321,-1,-0.0186319749454376,-0.000372639498908753,0.0181674587637741,0,-0.0181674587637741,1,0.415665396421176,0.415665396421176,2
2,50,1,0.244753550067772,0.00489507100135545,0.419753601531205,0.419753601531205,-0,1,0.41184487494916,0.41184487494916,-1,-0.139396483473165,-0.0027879296694633,0.219241805986444,0,-0.219241805986444,1,0.569713370339052,0.569713370339052,2
2,50,1,0.650693095750528,0.0130138619150106,1.23602117297815,1.23602117297815,-0,1,1.43483714530928,1.43483714530928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2,100,-1,-0.139570672928934,-0.00139570672928934,0.277915532834601,0,-0.277915532834601,0,0,NaN,1,-0.132752062646586,-0.00132752062646586,0.255321087040378,0,-0.255321087040378,0,0,NaN,2
2,25,-1,-0.103575914255768,-0.0041430365702307,0.20550884065306,0,-0.20550884065306,1,0.15365026530399,0.15365026530399,1,0.00543404435091584,0.000217361774036633,0.00920687678420411,0.00920687678420411,-0,0,0,NaN,2
2,100,1,-0.117171848245625,-0.00117171848245625,0.220024775800943,0,-0.220024775800943,0,0,NaN,-1,-0.0768898540474845,-0.000768898540474845,0.141664811830492,0,-0.141664811830492,0,0,NaN,2
2,25,1,-0.158642763852821,-0.00634571055411286,0.305237307165524,0,-0.305237307165524,0,0,NaN,-1,-0.106293058146854,-0.00425172232587416,0.222881973678088,0,-0.222881973678088,0,0,NaN,2
2,100,-1,0.147791857596544,0.00147791857596544,0.242528459221848,0.242528459221848,-0,1,0.235301737411144,0.235301737411144,1,0.0950614317252583,0.000950614317252583,0.179079238892976,0.179079238892976,-0,0,0,NaN,2
2,100,-1,-0.103830591351648,-0.00103830591351648,0.18854715383986,0,-0.18854715383986,0,0,NaN,1,-0.0784574642795193,-0.000784574642795193,0.133058426663818,0,-0.133058426663818,0,0,NaN,2
2,100,-1,-0.0789320056680465,-0.000789320056680465,0.151010114819054,0,-0.151010114819054,0,0,NaN,1,0.0032820342143083,3.2820342143083e-05,0.00444222662413983,0.00444222662413983,-0,0,0,NaN,2
2,200,-1,0.038954936479862,0.00019477468239931,0.0665132239710197,0.0665132239710197,-0,0,0,NaN,1,-0.0186764093669941,-9.33820468349707e-05,0.0269869841788533,0,-0.0269869841788533,0,0,NaN,2
2,25,1,-0.303347857490129,-0.0121339142996052,0.589601074773753,0,-0.589601074773753,0,0,NaN,-1,-0.138315437208924,-0.00553261748835696,0.26983509029306,0,-0.26983509029306,0,0,NaN,2
2,50,1,-0.138348758729422,-0.00276697517458844,0.263816902303231,0,-0.263816902303231,0,0,NaN,-1,-0.17154681650526,-0.00343093633010521,0.300806939993189,0,-0.300806939993189,1,0.140428700602932,0.140428700602932,2
2,25,1,-0.276740709409916,-0.0110696283763966,0.567618650645946,0,-0.567618650645946,1,0.27655892743764,0.27655892743764,-1,-0.191527804565502,-0.00766111218262009,0.387199184120143,0,-0.387199184120143,1,0.321117943705734,0.321117943705734,2
2,100,-1,0.0662397023682138,0.000662397023682139,0.123764791390634,0.123764791390634,-0,0,0,NaN,1,-0.0429080961715054,-0.000429080961715054,0.0704082748339598,0,-0.0704082748339598,1,0.23556077576509,0.23556077576509,2
2,50,1,-0.258677673473559,-0.00517355346947119,0.520348986192892,0,-0.520348986192892,1,0.292643981737696,0.292643981737696,-1,-0.054096407009588,-0.00108192814019176,0.10524624356896,0,-0.10524624356896,1,0.219765484351899,0.219765484351899,2
2,100,-1,-0.0244824457486035,-0.000244824457486035,0.0425633315181746,0,-0.0425633315181746,1,0.340311995521801,0.340311995521801,1,-0.0370608834302765,-0.000370608834302765,0.0538048483386914,0,-0.0538048483386914,1,0.309763585393674,0.309763585393674,2
2,200,1,-0.0479014876331633,-0.000239507438165816,0.0841939628373041,0,-0.0841939628373041,1,0.362194225217575,0.362194225217575,-1,-0.15997203069624,-0.000799860153481198,0.258747074274841,0,-0.258747074274841,1,0.373489319510928,0.373489319510928,2
2,100,1,-0.0682437141572967,-0.000682437141572967,0.123815347151925,0,-0.123815347151925,1,0.277265634779964,0.277265634779964,-1,0.0301331044812337,0.000301331044812337,0.0640093832924882,0.0640093832924882,-0,1,0.270555228465571,0.270555228465571,2
2,50,-1,0.113375567165549,0.00226751134331097,0.22157384831775,0.22157384831775,-0,1,0.159617862692221,0.159617862692221,1,0.00986258398478909,0.000197251679695782,0.0278357828428754,0.0278357828428754,-0,1,0.157669922288859,0.157669922288859,2
2,200,1,-0.270048451164344,-0.00135024225582172,0.937615415602433,0.216385110841224,-0.721230304761209,2,0.600240870638079,0.30012043531904,-1,-0.131665394955392,-0.000658326974776962,0.258205945186309,0,-0.258205945186309,1,0.230660786601823,0.230660786601823,2
2,200,1,0.140142109167705,0.000700710545838524,0.282354135347192,0.282354135347192,-0,1,0.168480067117266,0.168480067117266,-1,0.126514023359023,0.000632570116795117,0.253363316618784,0.253363316618784,-0,0,0,NaN,2
2,25,1,-0.160860388964776,-0.00643441555859104,0.293984244332432,0,-0.293984244332432,1,0.238960789964491,0.238960789964491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2,50,-1,0.0208239713976651,0.000416479427953302,0.0372245751798951,0.0372245751798951,-0,0,0,NaN,1,-0.036231359076552,-0.00072462718153104,0.0791566244561775,0,-0.0791566244561775,0,0,NaN,2
2,50,-1,0.0130691667264573,0.000261383334529146,0.0209751487654662,0.0209751487654662,-0,1,0.29122176634345,0.29122176634345,1,-0.0106073422589641,-0.000212146845179281,0.011970421567882,0,-0.011970421567882,1,0.223227801990026,0.223227801990026,2
2,200,-1,0.148940912995698,0.000744704564978491,0.763486310515164,0.505623147647669,-0.257863162867495,2,0.571204568619418,0.285602284309709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2,50,1,-0.49418771038513,-0.00988375420770259,0.873809092200261,0,-0.873809092200261,0,0,NaN,-1,-0.307297452128024,-0.00614594904256048,0.530205772626444,0,-0.530205772626444,0,0,NaN,2
3,200,1,0.391107425179271,0.00195553712589635,0.687843898943569,0.687843898943569,-0,1,0.353862574420739,0.353862574420739,-1,-0.0683230300012427,-0.000341615150006213,0.118388419636522,0,-0.118388419636522,0,0,NaN,2
3,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.00644575540191342,-3.22287770095671e-05,0.0128052738805481,0,-0.0128052738805481,1,0.207054636014318,0.207054636014318,2
3,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,0.0854617356913944,0.000427308678456972,0.181363518306599,0.181363518306599,-0,0,0,NaN,2
3,100,1,0.0083727974112214,8.3727974112214e-05,0.0760235343416296,0.0570154313316559,-0.0190081030099737,2,1.04975904480712,0.52487952240356,-1,-0.0545970379450573,-0.000545970379450573,0.0938918945803352,0,-0.0938918945803352,0,0,NaN,2
3,200,-1,0.348218249746755,0.00174109124873377,0.680515637227644,0.680515637227644,-0,1,0.179377463209192,0.179377463209192,1,-0.116013052163727,-0.000580065260818633,0.186369775579778,0,-0.186369775579778,1,0.113787852264051,0.113787852264051,2
3,25,-1,0.498872447612679,0.0199548979045072,1.13967885569244,0.95562492510677,-0.184053930585672,5,2.35383525327525,0.47076705065505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
3,25,-1,0.163148119757488,0.0065259247902995,0.33461141093726,0.33461141093726,-0,0,0,NaN,1,-0.117884675506563,-0.00471538702026253,0.247585900318057,0,-0.247585900318057,0,0,NaN,2
3,100,1,0.270541888301325,0.00270541888301325,0.537930171275373,0.537930171275373,-0,0,0,NaN,-1,0.061662671006892,0.00061662671006892,0.119774825657017,0.119774825657017,-0,1,0.204505153059834,0.204505153059834,2
3,50,-1,0.13069873772185,0.002613974754437,0.747804790702928,0.495726131491167,-0.252078659211761,1,0.296486834618497,0.296486834618497,1,-0.104011701139119,-0.00208023402278238,0.20800836759516,0,-0.20800836759516,0,0,NaN,2
3,100,1,0.377817447702211,0.00377817447702211,0.659405823538116,0.659405823538116,-0,0,0,NaN,-1,-0.13407219493471,-0.0013407219493471,0.222674142435608,0,-0.222674142435608,1,0.161006011187832,0.161006011187832,2
3,25,-1,0.0458234773536553,0.00183293909414621,0.0935293368433663,0.0935293368433663,-0,1,0.154548782102833,0.154548782102833,1,-0.0143608678804563,-0.000574434715218252,0.0336734896580127,0,-0.0336734896580127,0,0,NaN,2
3,200,1,0.404014151501736,0.00202007075750868,0.663052266511102,0.663052266511102,-0,1,0.0604363565288407,0.0604363565288407,-1,0.161527001951025,0.000807635009755127,0.306648626550166,0.306648626550166,-0,0,0,NaN,2
3,50,-1,0.218727968298575,0.0043745593659715,0.46980990629028,0.46980990629028,-0,0,0,NaN,1,-0.0554580997762016,-0.00110916199552403,0.3619306306565,0.121403605368057,-0.240527025288443,1,0.183709136881737,0.183709136881737,2
3,25,1,0.51091900619296,0.0204367602477184,0.948120241088293,0.948120241088293,-0,0,0,NaN,-1,-0.211704215349795,-0.00846816861399179,0.350851565022376,0,-0.350851565022376,1,0.556621623345972,0.556621623345972,2
3,25,-1,0.254968255804228,0.0101987302321691,0.44779679786094,0.44779679786094,-0,0,0,NaN,1,0.152667417832661,0.00610669671330644,0.291349385757826,0.291349385757826,-0,0,0,NaN,2
3,25,1,0.546996020164423,0.0218798408065769,1.04387228775442,1.04387228775442,-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
3,25,-1,0.111977290541271,0.00447909162165085,1.32715776795187,0.751736928096577,-0.575420839855289,2,1.0304891245676,0.5152445622838,1,-0.058902670082236,-0.00235610680328944,0.114148608806196,0,-0.114148608806196,1,0.228865999413594,0.228865999413594,2
3,50,1,0.611447404115729,0.0122289480823146,1.01958336159306,1.01958336159306,-0,1,0.561718814991622,0.561718814991622,-1,-0.169898073200404,-0.00339796146400807,0.305259379806594,0,-0.305259379806594,1,0.295349869593864,0.295349869593864,2
3,50,1,-0.239961964953933,-0.00479923929907865,0.425846546732198,0,-0.425846546732198,1,0.556007068743867,0.556007068743867,-1,-0.0527464846232853,-0.00105492969246571,0.0863882912900322,0,-0.0863882912900322,1,0.327119340087751,0.327119340087751,2
3,50,1,0.275651795800814,0.00551303591601627,0.852786114428246,0.665271257720781,-0.187514856707465,2,0.808566716856895,0.404283358428447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
3,100,-1,0.304732800829171,0.00304732800829171,0.58286461235355,0.58286461235355,-0,0,0,NaN,1,0.278496981351137,0.00278496981351137,0.538890168946989,0.538890168946989,-0,0,0,NaN,2
3,25,-1,0.0846276334151974,0.0033851053366079,0.155431269597915,0.155431269597915,-0,1,0.220227586848218,0.220227586848218,1,-0.0958132123853061,-0.00383252849541225,0.186264093807399,0,-0.186264093807399,0,0,NaN,2
3,100,1,0.452354100441791,0.00452354100441791,0.77428796359069,0.750516148048551,-0.0237718155421388,1,0.302691611783616,0.302691611783616,-1,-0.0942928666039913,-0.000942928666039913,0.167504092591236,0,-0.167504092591236,1,0.214882754867672,0.214882754867672,2
3,25,1,0.269566422351256,0.0107826568940502,0.553672550785624,0.553672550785624,-0,0,0,NaN,-1,-0.0305627983984055,-0.00122251193593622,0.0523599122272022,0,-0.0523599122272022,1,0.186392959721651,0.186392959721651,2
3,100,-1,0.711184911640147,0.00711184911640147,1.07917567905883,1.07917567905883,-0,2,0.552147071587173,0.276073535793587,1,0.247385574099865,0.00247385574099865,0.412157770342705,0.412157770342705,-0,0,0,NaN,2
3,100,-1,0.166113957606703,0.00166113957606703,0.316914418758599,0.316914418758599,-0,0,0,NaN,1,-0.194640989427606,-0.00194640989427606,0.365507622037097,0,-0.365507622037097,1,0.212266395650936,0.212266395650936,2
3,100,-1,0.122120982619753,0.00122120982619753,0.2343561697258,0.2343561697258,-0,0,0,NaN,1,-0.104430992991551,-0.00104430992991551,0.209116713471245,0,-0.209116713471245,0,0,NaN,2
3,200,-1,0.495786014519939,0.0024789300725997,1.44910396324683,1.10480988963596,-0.344294073610863,2,0.625800116318472,0.312900058159236,1,0.229578977980684,0.00114789488990342,0.418499923608947,0.418499923608947,-0,0,0,NaN,2
3,25,1,0.161059877846425,0.006442395113857,0.292822954898247,0.292822954898247,-0,1,0.555596044437753,0.555596044437753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
3,50,1,0.0554260138201648,0.0011085202764033,1.22397325859041,0.659609942458759,-0.564363316131646,3,0.745058909623077,0.248352969874359,-1,-0.422855942312052,-0.00845711884624104,0.69723674579131,0,-0.69723674579131,2,0.721452082553542,0.360726041276771,2
3,100,-1,0.482103631408492,0.00482103631408492,1.06392306938446,0.968811176926986,-0.0951118924574742,2,0.541806046934503,0.270903023467251,1,0.277310917626075,0.00277310917626075,0.508423164044474,0.508423164044474,-0,0,0,NaN,2
