sub,eye,rotationSpeed,afterReversalD,perceptualErrorMean,perceptualErrorStd,torsionPosMean,torsionPosStd,torsionVelTMean,torsionVelTStd,torsionVelTGainMean,torsionVelTGainStd,torsionAngleTotalMean,torsionAngleTotalStd,torsionAngleCWMean,torsionAngleCWStd,torsionAngleCCWMean,torsionAngleCCWStd,torsionAngleMean,torsionAngleStd,sacNumTMean,sacNumTStd,sacAmpSumTMean,sacAmpSumTStd,sacAmpMeanTMean,sacAmpMeanTStd,nonErrorTrialN,timeWindow,exp
5,2,400,-1,9.72422594556444,5.74981501989961,-0.0428590962797065,0.509275123883026,-0.481426517096587,0.229827906086379,-0.00120356629274147,0.000574569765215947,0.262711021160909,0.120961271257552,0,0,0.262711021160909,0.120961271257552,-0.262711021160909,0.120961271257552,0.64,0.637704215656966,0.182803895574119,0.245909087775185,0.269452190723482,0.118359057523416,25,1,1
6,2,25,1,5.15228852334027,3.6535549023441,-1.20325861966073,1.00514640221641,0.501672613170974,0.624006004236878,0.020066904526839,0.0249602401694751,0.37500785068181,0.221863192892767,0.323867090684386,0.251707160610159,0.0511407599974238,0.142732736490147,0.272726330686962,0.343853138965191,0.64,0.568624070307733,0.409383261519413,0.451013291419199,0.641078746494806,0.354541129535576,25,1,1
6,2,50,1,7.849995945525,4.27174571019909,-1.3606971617679,0.751107478603386,0.450590248798713,0.817131537590271,0.00901180497597425,0.0163426307518054,0.450594314255027,0.25092602569296,0.351044985901556,0.293137054885541,0.0995493283534714,0.222521317684679,0.251495657548085,0.455989330107761,0.607142857142857,0.497347461393438,0.379791246567417,0.381414881715511,0.625538523758099,0.286637053931582,28,1,1
6,2,100,1,9.72301556085425,4.19428547354628,-1.36325072207065,0.901233261016442,0.208928273291867,0.862712301516363,0.00208928273291867,0.00862712301516363,0.439513942355082,0.207252549842535,0.272252954530325,0.258037239394963,0.167260987824756,0.250918829373199,0.121010164341772,0.464449136279046,1,0.632455532033676,0.603067928458402,0.558545503641262,0.610077433222898,0.374949844881619,21,1,1
6,2,200,1,9.81390032019333,10.2041999996616,-1.41133959801263,0.884533851590228,0.260501856974232,0.834548404615777,0.00130250928487116,0.00417274202307889,0.400235864817338,0.242584903038286,0.275907062156035,0.305215814403448,0.124328802661302,0.192461390315413,0.151578259494733,0.448941783604633,0.730769230769231,0.533493565673837,0.41467740083184,0.389489077835623,0.574813479990105,0.32070224089397,26,1,1
6,2,400,1,14.9062626385974,8.5403518270658,-1.11948113707191,0.935387027301414,0.364872978593507,0.64262326663295,0.000912182446483767,0.00160655816658237,0.340333580715661,0.216937690155494,0.268474909792345,0.241103735480218,0.0718586709233161,0.167129200127459,0.206826881259019,0.345324892430699,1.04,0.734846922834953,0.483817386914811,0.382853325752273,0.476089369447385,0.226342754795983,25,1,1
6,2,25,-1,0.77114589027523,2.53485376464901,-0.6276495246799,1.11056475438575,-0.519777957129786,0.438243202926509,-0.0207911182851914,0.0175297281170604,0.310570328766513,0.201784730816572,0.0162683150739408,0.0569986859148594,0.294302013692572,0.216851167613646,-0.279525104869439,0.243641746890664,0.739130434782609,0.540823555863717,0.419817973778336,0.359010763920413,0.583801205008566,0.275486310924815,23,1,1
6,2,50,-1,1.03416835596002,2.76402463373636,-0.979868759789478,0.813337793257342,-0.440707193768611,0.51271242716728,-0.00881414387537223,0.0102542485433456,0.296630889046542,0.211117027601812,0.0309660936046046,0.121995408464393,0.265664795441938,0.216710363378282,-0.234698701837333,0.281286550016985,0.904761904761905,0.436435780471985,0.488452140801714,0.339731713408054,0.550413761977049,0.296831634867442,21,1,1
6,2,100,-1,5.59340907220957,5.35374200919914,-0.621812051334146,1.03581804116899,-0.731422979322026,0.671749651526832,-0.00731422979322026,0.00671749651526832,0.441769551233689,0.296645505089092,0.0263886313807106,0.0718882160772473,0.415380919852978,0.325191932462841,-0.388992288472267,0.365837206158435,0.826086956521739,0.576208131040061,0.404516176056089,0.390973084131759,0.502808920650466,0.331956675917733,23,1,1
6,2,200,-1,12.6648364356557,7.75346016354479,-0.859961931784673,1.22908510059268,-1.02076129651684,0.826937692731969,-0.00510380648258421,0.00413468846365985,0.564135854973556,0.428127116657947,0.00949745364694141,0.04028902002673,0.554638401326615,0.438892173658351,-0.545140947679673,0.452996978410106,0.884615384615385,0.588348405414552,0.523567287316935,0.431063378451192,0.597869499851344,0.304019142693913,26,1,1
6,2,400,-1,13.5175604575072,7.88477682018011,-0.703217799011269,0.884182443439324,-0.678104751086152,0.808538382900046,-0.00169526187771538,0.00202134595725012,0.469772404187357,0.328237738034413,0.050059887926594,0.128677646205091,0.419712516260763,0.367266197750218,-0.369652628334169,0.441751944665354,0.884615384615385,0.588348405414552,0.464725775236396,0.428689804545582,0.530527634975812,0.340889533415504,26,1,1
7,2,25,1,6.01768771679875,3.04557038932415,-0.335777005578457,0.509613500046166,1.3068011609047,0.486026234436771,0.0522720464361881,0.0194410493774709,0.663589749180069,0.255012884948565,0.663589749180069,0.255012884948565,0,0,0.663589749180069,0.255012884948565,1,0.707106781186548,0.294247135786264,0.213553514851831,0.300726549234799,0.103064597725581,9,1,1
7,2,50,1,9.90818203222628,6.98900987749378,-0.255066421371506,0.558734122357996,1.24977962014284,0.38814462194007,0.0249955924028568,0.00776289243880139,0.674326866810059,0.236576518989079,0.671712308987925,0.239013292634838,0.00261455782213427,0.00784367346640281,0.671712308987925,0.239013292634838,0.888888888888889,0.600925212577332,0.32135724454967,0.358111959774994,0.331406020096719,0.184275745387694,9,1,1
7,2,100,1,12.0258682289227,3.83758226596048,-0.223557578372668,0.562839980908718,1.13424966938796,0.463403005760653,0.0113424966938796,0.00463403005760653,0.591157469286547,0.259432171239349,0.591157469286547,0.259432171239349,0,0,0.591157469286547,0.259432171239349,1,0.738548945875996,0.272820677235075,0.194544651054827,0.280290780504278,0.0641387872229006,12,1,1
7,2,200,1,16.4438380222832,5.02564638427422,-0.130344609443015,0.511832905583464,1.26197157941604,0.496792528240708,0.00630985789708018,0.00248396264120354,0.609823792799951,0.292264997405744,0.603346109753653,0.291011709353877,0.00647768304629809,0.0200200022138631,0.603346109753653,0.291011709353877,1.42857142857143,1.22249969100425,0.479352616244465,0.392688428919472,0.351819509094261,0.152326684186115,14,1,1
