sub,eye,rotationSpeed,afterReversalD,torsionVelTMean,torsionVelTStd,torsionVelTGainMean,torsionVelTGainStd,torsionAngleTotalMean,torsionAngleTotalStd,torsionAngleCWMean,torsionAngleCWStd,torsionAngleCCWMean,torsionAngleCCWStd,torsionAngleMean,torsionAngleStd,sacNumTMean,sacNumTStd,sacAmpSumTMean,sacAmpSumTStd,sacAmpMeanTMean,sacAmpMeanTStd,nonErrorTrialN,exp
1,2,25,-1,-2.02610321666971,0.537189241488769,-0.0810441286667885,0.0214875696595508,3.64896537542774,0.928747824844399,0,0,3.64896537542774,0.928747824844399,-3.64896537542774,0.928747824844399,1.75,0.5,2.94849947967621,1.91806249607753,1.65341998529642,0.8283671255044,4,1
1,2,50,-1,-2.49279665857937,0.165596861181348,-0.0498559331715873,0.00331193722362697,4.51391945953752,0.376270570956637,0,0,4.51391945953752,0.376270570956637,-4.51391945953752,0.376270570956637,1.5,0.577350269189626,2.93618943816712,1.88269336844247,1.92188574641898,0.745477400143482,4,1
1,2,100,-1,-3.66179662144987,0.797825681727855,-0.0366179662144987,0.00797825681727855,5.34934787966733,1.14724964323945,0,0,5.34934787966733,1.14724964323945,-5.34934787966733,1.14724964323945,3.2,0.836660026534076,6.64215538698105,4.30302597467077,2.00796316858477,0.940514432524002,5,1
1,2,200,-1,-3.00160911552836,0.403589499762742,-0.0150080455776418,0.00201794749881371,4.47994507896289,0.777939513372512,0,0,4.47994507896289,0.777939513372512,-4.47994507896289,0.777939513372512,3.5,1.29099444873581,4.25594209580223,2.38710323355038,1.15046796803242,0.345174906949478,4,1
1,2,400,-1,-1.60518696551841,0.53617841105581,-0.00401296741379602,0.00134044602763953,2.86622219883023,0.762035187845372,0,0,2.86622219883023,0.762035187845372,-2.86622219883023,0.762035187845372,2,0.816496580927726,1.65074495228398,0.975691683441278,0.78113182918448,0.163527299508602,4,1
1,2,25,1,2.72342924381607,0.471801442443522,0.108937169752643,0.0188720576977409,4.3946239582411,1.15117037109388,4.3946239582411,1.15117037109388,0,0,4.3946239582411,1.15117037109388,2.2,0.836660026534076,3.05965576121111,2.01822368128499,1.33430967510469,0.90112444690812,5,1
1,2,50,1,3.1252043955381,0.476488723692662,0.0625040879107619,0.00952977447385323,4.96108105262305,1.07423016882547,4.96108105262305,1.07423016882547,0,0,4.96108105262305,1.07423016882547,2.5,0.577350269189626,5.09197585164454,1.20926932586594,2.1140014324593,0.725126339042894,4,1
1,2,100,1,3.46108286888571,0.765949913510182,0.0346108286888571,0.00765949913510182,5.24283689310613,1.17923771956387,5.1440869606117,1.32343717458504,0.0987499324944297,0.148069281838417,3.58493823145824,3.28317772614995,4.4,2.60768096208106,7.1306653991629,4.31177139642971,1.64287190080318,0.695864268082561,5,1
1,2,200,1,3.26121395881327,0.256059152198236,0.0163060697940664,0.00128029576099118,4.42209434681803,0.609217646567124,4.42209434681803,0.609217646567124,0,0,4.42209434681803,0.609217646567124,3.5,0.577350269189626,5.79529177675286,2.2563359319455,1.72751964616984,0.860023839186581,4,1
1,2,400,1,2.02974493781441,0.192893615064923,0.00507436234453602,0.000482234037662306,3.35508925453076,0.285191337337838,3.35508925453076,0.285191337337838,0,0,3.35508925453076,0.285191337337838,2.75,0.957427107756338,1.94634279275035,0.49248802011782,0.751687375906226,0.250566047734554,4,1
2,2,25,-1,-1.17728193964177,0.491653400796531,-0.0470912775856708,0.0196661360318612,1.88369467153224,0.648462170400416,0,0,1.88369467153224,0.648462170400416,-1.88369467153224,0.648462170400416,2.25,1.5,1.23783963462748,0.896634997061524,0.550150948723322,0.143152406312225,4,1
2,2,50,-1,-1.50624290418978,0.221083862462917,-0.0301248580837956,0.00442167724925833,2.48409150726119,0.392867312993415,0,0,2.48409150726119,0.392867312993415,-2.48409150726119,0.392867312993415,3.2,0.447213595499958,1.82422066018533,0.334987143509446,0.573306357918038,0.104531875265315,5,1
2,2,100,-1,-1.30395861559742,0.615270133410185,-0.0130395861559742,0.00615270133410185,2.14876588497358,0.910215271698575,0,0,2.14876588497358,0.910215271698575,-2.14876588497358,0.910215271698575,2.2,1.09544511501033,1.32058815982808,0.716678006952182,0.632044118559494,0.275800619011175,5,1
2,2,200,-1,-1.47992159004345,0.377508745849799,-0.00739960795021725,0.00188754372924899,2.17601090929292,0.462983370769018,0,0,2.17601090929292,0.462983370769018,-2.17601090929292,0.462983370769018,4,0.816496580927726,2.56381982223998,0.93946901942699,0.632020181807708,0.177129750710924,4,1
2,2,400,-1,-0.633165514672873,0.20144465201961,-0.00158291378668218,0.000503611630049024,1.14069688777399,0.323470585214235,0.010130401039884,0.0226522653645151,1.13056648673411,0.340211277602368,-0.996245164764187,0.600062533884816,1.8,0.836660026534076,0.812059203510272,0.475318202018651,0.428261671565935,0.155948437772938,5,1
2,2,25,1,1.46647428434922,0.367026553144572,0.0586589713739688,0.0146810621257829,2.089933737992,0.370903077566226,2.089933737992,0.370903077566226,0,0,2.089933737992,0.370903077566226,4.6,1.8165902124585,2.70293275011403,0.782522408820366,0.613910218892091,0.087167802345504,5,1
2,2,50,1,1.83148958685944,0.507175333826686,0.0366297917371889,0.0101435066765337,2.5489927268852,0.461419729332901,2.5489927268852,0.461419729332901,0,0,2.5489927268852,0.461419729332901,4.8,1.30384048104053,3.00870889431801,1.11899319388533,0.623917843269118,0.116331933860891,5,1
2,2,100,1,2.11231748807416,0.264938252351752,0.0211231748807416,0.00264938252351752,2.96676077026005,0.370790128237742,2.96676077026005,0.370790128237742,0,0,2.96676077026005,0.370790128237742,4.6,1.34164078649987,4.34464094637013,2.13025986746178,0.926840750359952,0.249648221804945,5,1
2,2,200,1,2.00807678239794,0.234717144464215,0.0100403839119897,0.00117358572232107,2.98918945723685,0.382729163479377,2.98918945723685,0.382729163479377,0,0,2.98918945723685,0.382729163479377,3.6,0.894427190999916,2.99781238853358,0.437466158044791,0.87811637538625,0.263479228446656,5,1
2,2,400,1,1.16802532534529,0.413085076156433,0.00292006331336322,0.00103271269039108,1.83789802236117,0.757550548499968,1.83789802236117,0.757550548499968,0,0,1.83789802236117,0.757550548499968,2.6,0.894427190999916,1.5860651062585,0.718726972808575,0.645971929812789,0.3733357371266,5,1
3,2,25,-1,-0.944560720181891,0.321018987086899,-0.0377824288072756,0.012840759483476,1.6370031398769,0.511532451890505,0,0,1.6370031398769,0.511532451890505,-1.6370031398769,0.511532451890505,1.6,0.894427190999916,0.765023737678274,0.501172077829111,0.461127711660009,0.0826906416864387,5,1
3,2,50,-1,-0.961061915904009,0.327794419903572,-0.0192212383180802,0.00655588839807144,1.68439938707494,0.654373493480238,0.00332865979292705,0.00744310957095525,1.68107072728201,0.654286233754093,-1.34344355885568,0.99603592464067,1.4,0.547722557505166,0.757296889626518,0.469390279417885,0.547270900939826,0.21162674943629,5,1
3,2,100,-1,-1.53966456420822,0.826233045855938,-0.0153966456420822,0.00826233045855938,2.42265732736558,1.4398116457529,0,0,2.42265732736558,1.4398116457529,-2.42265732736558,1.4398116457529,2.4,1.67332005306815,1.87532981885014,1.03146711566124,0.925776260390897,0.534856577895489,5,1
3,2,200,-1,-1.21115050864844,0.671243027253273,-0.00605575254324222,0.00335621513626637,2.01575080427799,1.15992974906222,0,0,2.01575080427799,1.15992974906222,-2.01575080427799,1.15992974906222,1.8,0.447213595499958,1.31485364723638,0.703855322262028,0.687275055756697,0.300643567014082,5,1
3,2,400,-1,-0.782074595145836,0.356907090175273,-0.00195518648786459,0.000892267725438184,1.4417934931434,0.465006902104607,0.0568896822983449,0.127209196837466,1.38490381084505,0.566474602997416,-1.27785788636763,0.778185725323603,2.4,1.8165902124585,1.45624957134885,0.92673192719888,0.664179903201308,0.231708717914562,5,1
3,2,25,1,1.33374051152892,0.452398538587145,0.0533496204611568,0.0180959415434858,2.22706529334189,0.496027557642032,2.22706529334189,0.496027557642032,0,0,2.22706529334189,0.496027557642032,2,1.4142135623731,1.6868665592402,0.415389295114301,1.08278020918213,0.43575042512913,5,1
3,2,50,1,1.71690001318635,0.737427405676946,0.0343380002637269,0.0147485481135389,2.9135391739051,1.20282198064421,2.9135391739051,1.20282198064421,0,0,2.9135391739051,1.20282198064421,1.8,0.447213595499958,2.21726683163995,0.787595294876741,1.29076122954405,0.480394208775029,5,1
3,2,100,1,2.14686565642769,0.811461473788121,0.0214686565642769,0.00811461473788121,3.62453538100718,1.27063273325985,3.62453538100718,1.27063273325985,0,0,3.62453538100718,1.27063273325985,3.2,1.78885438199983,2.62645145503717,1.07862341634954,0.975711707780072,0.467331246145323,5,1
3,2,200,1,1.85777056746571,0.328564606569691,0.00928885283732856,0.00164282303284846,3.22975866481638,0.40766288019617,3.22975866481638,0.40766288019617,0,0,3.22975866481638,0.40766288019617,1.8,1.30384048104053,2.00608407605286,0.953454037040894,1.26348634756703,0.305304302344359,5,1
3,2,400,1,1.59846853319304,0.232635460665114,0.00399617133298259,0.000581588651662785,2.83658411319165,0.510862237539642,2.83658411319165,0.510862237539642,0,0,2.83658411319165,0.510862237539642,2.6,1.51657508881031,1.50129331046247,0.583454691284177,0.688907857754889,0.344015603057075,5,1
4,2,25,-1,-0.332668976166315,0.187027075834597,-0.0133067590466526,0.00748108303338389,0.606216177598092,0.33116707462494,0,0,0.606216177598092,0.33116707462494,-0.606216177598092,0.33116707462494,1,1.22474487139159,0.25296248538381,0.258327150717213,0.291057282343148,0.113960628729827,5,1
4,2,50,-1,-0.57237543417089,0.1732155840223,-0.0114475086834178,0.003464311680446,1.0487143977954,0.307085812360238,0,0,1.0487143977954,0.307085812360238,-1.0487143977954,0.307085812360238,1.4,0.894427190999916,0.440949769186598,0.254464691242067,0.334318797027231,0.0935539576601317,5,1
4,2,100,-1,-0.479507603945811,0.146966854417405,-0.00479507603945811,0.00146966854417405,0.864989966974178,0.307629368636043,0,0,0.864989966974178,0.307629368636043,-0.864989966974178,0.307629368636043,1,0.816496580927726,0.475954040462286,0.429826014218626,0.46267883560587,0.100197628815659,4,1
4,2,200,-1,-0.80515346477473,0.671188575055449,-0.00402576732387365,0.00335594287527724,1.29442107596939,0.530712995553933,0.10066594946424,0.225095906021599,1.19375512650515,0.70022852222842,-1.16109711913541,0.761436177101962,3.2,1.30384048104053,1.50830486891627,0.902480719830038,0.439103609943246,0.112001577495958,5,1
4,2,400,-1,-0.153507768727793,0.315887550629736,-0.000383769421819481,0.00078971887657434,0.46372614976443,0.391736242125548,0.100906147863767,0.225633005971029,0.362820001900662,0.409911327624639,-0.342169798957154,0.428438830617587,1.6,1.14017542509914,0.680072443857571,0.394369799737401,0.491815818986552,0.253967348284334,5,1
4,2,25,1,0.212969800743547,0.0790740157522384,0.00851879202974187,0.00316296063008954,0.383203869987712,0.1124184290977,0.383203869987712,0.1124184290977,0,0,0.383203869987712,0.1124184290977,0.2,0.447213595499958,0.0850789672090238,0.190242354134853,0.425394836045119,NaN,5,1
4,2,50,1,0.247654210207327,0.200377134068461,0.00495308420414654,0.00400754268136922,0.501456362226737,0.322047263484795,0.48283614685928,0.352784864217095,0.0186202153674569,0.0416360673173198,0.464215931491823,0.385573605329266,1,0.707106781186548,0.282745249786337,0.248994796152329,0.270243868995868,0.0883587192738205,5,1
4,2,100,1,0.300883419257966,0.0966009167035584,0.00300883419257966,0.000966009167035584,0.558090527268716,0.180702510509407,0.556282062378338,0.181199970464762,0.00180846489037796,0.00404385042980682,0.45371300543262,0.310763028384715,0.8,0.836660026534076,0.219178294078439,0.200831294937698,0.299776526394373,0.0895009232432555,5,1
4,2,200,1,0.404501366319115,0.205490499565883,0.00202250683159558,0.00102745249782942,0.794253050687326,0.475296977086363,0.760760154660075,0.417223085745052,0.0334928960272507,0.0748923922802653,0.498200847654372,0.395482399199398,1.2,0.447213595499958,0.472252116835206,0.385751596748213,0.357137335324355,0.140299800665504,5,1
4,2,400,1,-0.0379555659293801,0.182267278534645,-9.48889148234502e-05,0.000455668196336613,0.274077777792674,0.130449917305776,0.0983710604070887,0.132060924142171,0.175706717385586,0.213703009336438,-0.0773356569784969,0.330455665474786,0.25,0.5,0.0498117443316307,0.0996234886632613,0.199246977326523,NaN,4,1
5,2,25,-1,-1.36447077646455,0.142835855122695,-0.054578831058582,0.00571343420490781,2.005789757684,0.0244243664477704,0,0,2.005789757684,0.0244243664477704,-2.005789757684,0.0244243664477704,2.5,0.707106781186548,2.06500582626911,0.0767498622113711,0.85589656527673,0.211384161236032,2,1
5,2,50,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1
5,2,100,-1,-1.97537985178613,0.0339763320374974,-0.0197537985178613,0.000339763320374973,2.76552875993701,0.0468974932310629,0.0353513725976222,0.0499943905760619,2.73017738733939,0.00309689734499923,-1.36618361222634,1.93207539310235,4.5,0.707106781186548,2.30425730515849,0.0883871506193862,0.520020372499979,0.101354907193172,2,1
5,2,200,-1,-1.81196762245,0.572263759385758,-0.00905983811224999,0.00286131879692879,2.72878725549519,0.687045567106295,0,0,2.72878725549519,0.687045567106295,-2.72878725549519,0.687045567106295,3.5,1,1.89224001690239,0.666126642766917,0.548861776239695,0.187214652696469,4,1
5,2,400,-1,-1.74100719021582,0.162856862655258,-0.00435251797553956,0.000407142156638146,2.73045200969822,0.0782213563053506,0,0,2.73045200969822,0.0782213563053506,-2.73045200969822,0.0782213563053506,3,1,1.69011800155163,0.325748690033909,0.601412752367127,0.213308483517083,3,1
5,2,25,1,0.230272696382003,0.404413443046311,0.00921090785528011,0.0161765377218524,0.66796760336083,0.249110660014622,0.496194002525452,0.42366064749561,0.171773600835378,0.174549987480988,0,0,5,1.4142135623731,2.01164471741621,0.829678026116122,0.394648026192202,0.0543122870222675,2,1
5,2,50,1,0.804776204882656,NaN,0.0160955240976531,NaN,1.26025613033019,NaN,1.26025613033019,NaN,0,NaN,1.26025613033019,NaN,2,NaN,0.693670672358786,NaN,0.346835336179393,NaN,1,1
5,2,100,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1
5,2,200,1,0.866203280517954,0.731771066227063,0.00433101640258977,0.00365885533113532,1.39846352984108,1.05801067163863,1.37577155696873,1.09138664674918,0.022691972872348,0.0393036499388813,1.27601085518155,1.24223807502513,3.66666666666667,1.52752523165195,1.93098481496522,0.982809884878709,0.573423989448437,0.28736903520228,3,1
5,2,400,1,1.47113111256785,0.257331723066871,0.00367782778141962,0.000643329307667177,2.33031411898286,0.45321449467588,2.33031411898286,0.45321449467588,0,0,2.33031411898286,0.45321449467588,2.66666666666667,1.52752523165195,1.50224604148216,0.888104048081461,0.550504719552177,0.103580985996792,3,1
6,2,25,-1,-0.817847136432068,0.110815241359201,-0.0327138854572827,0.00443260965436805,1.26146972578082,0.111281197106976,0.00227084925064908,0.00323305179057196,1.25919887653017,0.111939977686952,-0.458814528213145,0.794690074115912,3,0,1.75803555309496,1.01469456713661,0.586011851031655,0.33823152237887,3,1
6,2,50,-1,-1.06589506243743,0.850231687168275,-0.0213179012487487,0.0170046337433655,1.50705985964312,1.17564676731102,0,0,1.50705985964312,1.17564676731102,-1.50705985964312,1.17564676731102,4,2.82842712474619,3.12647611850675,1.55556054233184,0.858834138164073,0.218397307427361,2,1
6,2,100,-1,-1.03980684164089,0.0851960749725537,-0.0103980684164089,0.000851960749725536,1.53475204241839,0.480119080334058,0,0,1.53475204241839,0.480119080334058,-1.53475204241839,0.480119080334058,3.5,3.53553390593274,3.26461100071278,3.49082542095729,0.875862114125249,0.112624348441585,2,1
6,2,200,-1,-1.07245687357867,NaN,-0.00536228436789333,NaN,1.58192871744545,NaN,0,NaN,1.58192871744545,NaN,-1.58192871744545,NaN,3,NaN,0.422194123231544,NaN,0.140731374410515,NaN,1,1
6,2,400,-1,-0.531861931351952,NaN,-0.00132965482837988,NaN,0.88657768256915,NaN,0,NaN,0.88657768256915,NaN,-0.88657768256915,NaN,2,NaN,0.252578850580288,NaN,0.126289425290144,NaN,1,1
6,2,25,1,0.918391748855492,0.141667347436452,0.0367356699542197,0.00566669389745807,1.48061102947302,0.0451912952135429,1.38785920211912,0.176362187392314,0.0927518273538985,0.131170892178771,0.756283050384561,1.06954574684674,5.5,2.12132034355964,3.64826065943654,0.134300804974268,0.71153521828667,0.250016968861163,2,1
6,2,50,1,0.78260582726215,0.259118651398134,0.015652116545243,0.00518237302796268,1.12130284367671,0.414863608333391,1.12130284367671,0.414863608333391,0,0,1.12130284367671,0.414863608333391,4.5,0.707106781186548,3.13800967673917,0.381603214918506,0.712798032791101,0.196806119449228,2,1
6,2,100,1,1.11296044725815,0.208580904721495,0.0111296044725815,0.00208580904721495,1.51644035263566,0.278641128158886,1.47934007715992,0.254249927501114,0.0371002754757385,0.074200550951477,1.09057292695137,0.768566141844989,4.25,0.957427107756338,2.70412045340196,1.19241711334841,0.610198276276735,0.193287557733237,4,1
6,2,200,1,1.03379127429414,0.606689721490929,0.00516895637147071,0.00303344860745465,1.36757461339723,0.49965989323823,1.34537433211533,0.53188619522821,0.0222002812818961,0.0377675218597345,0.449348024076218,0.778293607980693,4,1,2.72875944230329,0.465085271751357,0.692001323626291,0.0604970230845881,3,1
6,2,400,1,0.597690095962704,0.420483762161715,0.00149422523990676,0.00105120940540429,0.828800294929825,0.545606924888767,0.815482325756686,0.552360978579052,0.0133179691731384,0.0204155566194988,0.644423845428186,0.665635784329387,2.8,1.48323969741913,1.48088571997163,1.30845672053652,0.484113197606766,0.204487626814505,5,1
7,2,25,-1,-0.67517766074182,0.299919820533921,-0.0270071064296728,0.0119967928213568,1.28978051494861,0.609305298694121,0,0,1.28978051494861,0.609305298694121,-1.28978051494861,0.609305298694121,1.2,0.447213595499958,0.722240144541931,0.130495386806563,0.637619514824161,0.163116725376752,5,1
7,2,50,-1,-0.770505132553172,0.268741236138231,-0.0154101026510634,0.00537482472276463,1.32811984190659,0.450205668854328,0,0,1.32811984190659,0.450205668854328,-1.32811984190659,0.450205668854328,1.8,0.836660026534076,0.926517608628791,0.171690980292465,0.596031603229984,0.250408945944294,5,1
7,2,100,-1,-1.16232299925717,0.49550570765308,-0.0116232299925717,0.0049550570765308,1.80977804016059,0.673133453319379,0,0,1.80977804016059,0.673133453319379,-1.80977804016059,0.673133453319379,3,2.82842712474619,1.30760490698182,0.585439026493739,0.635804147895028,0.338986228028149,4,1
7,2,200,-1,-0.995093949209157,0.545002361664308,-0.00497546974604578,0.00272501180832154,1.59075221115255,0.641287786490245,0,0,1.59075221115255,0.641287786490245,-1.59075221115255,0.641287786490245,2.8,1.30384048104053,1.43711305309496,1.06063067189199,0.515028483232135,0.206230760632082,5,1
7,2,400,-1,-0.70732868110468,0.094023824554728,-0.0017683217027617,0.00023505956138682,1.16858986832386,0.158732064578798,0.00180463905354842,0.00403529559858515,1.16678522927031,0.162149442413869,-0.982761348762999,0.555965278790141,2.8,1.6431676725155,1.1525784998408,0.599559719638631,0.452167003768212,0.140533256244728,5,1
7,2,25,1,0.627325951501783,0.455167621720924,0.0250930380600713,0.018206704868837,1.13418225558979,0.795224870226309,1.12149072047242,0.773073687321143,0.0126915351173717,0.0283791352612688,0.683290679933485,0.62136266181958,1.6,1.51657508881031,0.454863236489722,0.382706961565731,0.323358337452479,0.222362009712915,5,1
7,2,50,1,0.914238467796293,0.560229299142367,0.0182847693559259,0.0112045859828473,1.45789519929892,0.73086510910704,1.45789519929892,0.73086510910704,0,0,1.45789519929892,0.73086510910704,1.6,2.50998007960223,0.498477579592467,0.762635621376347,0.330531590300043,0.209483221117268,5,1
7,2,100,1,0.843920890428265,0.378728797702927,0.00843920890428265,0.00378728797702927,1.51250532322918,0.667913347670689,1.51250532322918,0.667913347670689,0,0,1.51250532322918,0.667913347670689,1.6,0.894427190999916,0.669702205883822,0.38910285065166,0.418563878677388,0.0612221418510225,5,1
7,2,200,1,1.11417928420321,0.251597955195725,0.00557089642101603,0.00125798977597863,1.75996794163987,0.410682130161854,1.75996794163987,0.410682130161854,0,0,1.75996794163987,0.410682130161854,2.8,0.836660026534076,0.878437231144303,0.334064323857971,0.321249334901041,0.0923761349507399,5,1
7,2,400,1,0.50490544302296,0.372958240741989,0.0012622636075574,0.000932395601854973,0.981495284136496,0.444018542162938,0.905011680158825,0.490071858776332,0.0764836039776711,0.113955617556049,0.662750548420516,0.728926052949625,2.6,0.894427190999916,0.996661737754775,0.305489708753036,0.392914067904916,0.0720340674383443,5,1
1,2,25,0,2.41350656508435,0.595471346843584,0.0965402626033742,0.0238188538737434,0,0,0,0,0,0,4.06322014365738,1.0679455131937,2,0.707106781186548,3.01025296941782,1.8492314511893,1.47613647963435,0.831637641723089,9,1
1,2,50,0,2.80900052705873,0.472572075266023,0.0561800105411746,0.00945144150532046,0,0,0,0,0,0,4.73750025608029,0.782537719329149,2,0.755928946018454,4.01408264490583,1.86376845539354,2.01794358943914,0.688523384678171,8,1
1,2,100,0,3.56143974516779,0.744873992318616,0.0356143974516779,0.00744873992318616,0,0,0,0,0,0,4.46714305556278,2.49810159962262,3.8,1.93218356615859,6.88641039307198,4.06920993608025,1.82541753469398,0.803354563623062,10,1
1,2,200,0,3.13141153717082,0.342290951957464,0.0156570576858541,0.00171145475978732,0,0,0,0,0,0,4.45101971289046,0.647600129763126,3.5,0.925820099772551,5.02561693627755,2.30239427977333,1.43899380710113,0.680581415257032,8,1
1,2,400,0,1.81746595166641,0.436640527097132,0.00454366487916602,0.00109160131774283,0,0,0,0,0,0,3.11065572668049,0.593305170274338,2.375,0.916125381312904,1.79854387251717,0.732735803085639,0.766409602545353,0.19650791243371,8,1
2,2,25,0,1.33794435336813,0.425713008217488,0.0535177741347252,0.0170285203286995,0,0,0,0,0,0,1.99827193067655,0.488147923145153,3.55555555555556,2.00693242979872,2.05178025434223,1.09722510387149,0.590000492578803,0.106234551433065,9,1
2,2,50,0,1.66886624552461,0.406732656586332,0.0333773249104923,0.00813465313172664,0,0,0,0,0,0,2.51654211707319,0.405454750142351,4,1.24721912892465,2.41646477725167,0.998052523618434,0.598612100593578,0.107622763625132,10,1
2,2,100,0,1.70813805183579,0.617216747925974,0.0170813805183579,0.00617216747925974,0,0,0,0,0,0,2.55776332761682,0.784339617556251,3.4,1.71269767715535,2.83261455309911,2.18756018364831,0.779442434459723,0.292655181948448,10,1
2,2,200,0,1.7733411413515,0.398087827848278,0.0088667057067575,0.00199043913924139,0,0,0,0,0,0,2.62777676926177,0.5807809913402,3.77777777777778,0.833333333333333,2.8049268035142,0.692086268407451,0.768740289351343,0.251593733343229,9,1
2,2,400,0,0.900595420009081,0.416341800629563,0.0022514885500227,0.00104085450157391,0,0,0,0,0,0,1.41707159356268,0.782217669632833,2.2,0.918936583472681,1.19906215488438,0.704564188557092,0.537116800689362,0.293123474704111,10,1
